,ts_code,symbol,name,area,industry,fullname,enname,cnspell,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
2594,301133.SZ,301133,金钟股份,广东,汽车配件,广州市金钟汽车零件股份有限公司,"Guangzhou Jinzhong Auto Parts Manufacturing Co., Ltd.",jzgf,创业板,SZSE,CNY,L,20211126,,N
2595,301135.SZ,301135,瑞德智能,广东,元器件,广东瑞德智能科技股份有限公司,"Guangdong Real-Design Intelligent Technology Co.,Ltd",rdzn,创业板,SZSE,CNY,L,20220412,,N
2596,301136.SZ,301136,招标股份,福建,建筑工程,福建省招标股份有限公司,"Fujian Tendering Co., Ltd.",zbgf,创业板,SZSE,CNY,L,20220111,,N
2597,301137.SZ,301137,哈焊华通,江苏,机械基件,哈焊所华通(常州)焊业股份有限公司,"Hit Welding Industry Co.,Ltd.",hhht,创业板,SZSE,CNY,L,20220322,,N
2598,301138.SZ,301138,华研精机,广东,专用机械,广州华研精密机械股份有限公司,"Guangzhou Huayan Precision Machinery Co.,Ltd.",hyjj,创业板,SZSE,CNY,L,20211215,,N
2599,301139.SZ,301139,元道通信,新疆,通信设备,元道通信股份有限公司,"Wintao Communications Co.,Ltd",ydtx,创业板,SZSE,CNY,L,20220708,,N
2600,301141.SZ,301141,中科磁业,浙江,矿物制品,浙江中科磁业股份有限公司,"Zhejiang Zhongke Magnetic Industry Co., Ltd.",zkcy,创业板,SZSE,CNY,L,20230403,,N
2601,301148.SZ,301148,嘉戎技术,福建,环境保护,厦门嘉戎技术股份有限公司,"Xiamen Jiarong Technology Corp.,Ltd.",jrjs,创业板,SZSE,CNY,L,20220421,,N
2602,301149.SZ,301149,隆华新材,山东,化工原料,山东隆华新材料股份有限公司,"Shandong Longhua New Material Co.,Ltd.",lhxc,创业板,SZSE,CNY,L,20211110,,S
2603,301150.SZ,301150,中一科技,湖北,元器件,湖北中一科技股份有限公司,Hubei Zhongyi Technology Inc.,zykj,创业板,SZSE,CNY,L,20220421,,S
2604,301151.SZ,301151,冠龙节能,上海,机械基件,上海冠龙阀门节能设备股份有限公司,"Shanghai Karon Eco-Valve Manufacturing Co.,Ltd.",gljn,创业板,SZSE,CNY,L,20220411,,N
2605,301152.SZ,301152,天力锂能,河南,小金属,新乡天力锂能股份有限公司,"Xinxiang Tianli Energy Co.,Ltd.",tlln,创业板,SZSE,CNY,L,20220829,,S
2606,301153.SZ,301153,中科江南,北京,软件服务,北京中科江南信息技术股份有限公司,"Beijing Ctj Information Technology Co., Ltd.",zkjn,创业板,SZSE,CNY,L,20220518,,S
2607,301155.SZ,301155,海力风电,江苏,电气设备,江苏海力风电设备科技股份有限公司,"Jiangsu Haili Wind Power Equipment Technology Co., Ltd.",hlfd,创业板,SZSE,CNY,L,20211124,,S
2608,301156.SZ,301156,美农生物,上海,饲料,上海美农生物科技股份有限公司,"Shanghai Menon Animal Nutrition Technology Co.,Ltd.",mnsw,创业板,SZSE,CNY,L,20220617,,N
2609,301157.SZ,301157,华塑科技,浙江,电气设备,杭州华塑科技股份有限公司,"Hangzhou Huasu Technology Co.,Ltd.",hskj,创业板,SZSE,CNY,L,20230309,,N
2610,301158.SZ,301158,德石股份,山东,专用机械,德州联合石油科技股份有限公司,"Dezhou United Petroleum Technology Co.,Ltd.",dsgf,创业板,SZSE,CNY,L,20220117,,N
2611,301159.SZ,301159,三维天地,北京,软件服务,北京三维天地科技股份有限公司,"Beijing Sunwayworld Science&Technology Co., Ltd.",swtd,创业板,SZSE,CNY,L,20220107,,N
